Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
13.42966,426.785,53.775,47.55,-0.1155081,-0.6319457,-0.07864642,0.7623106
13.45065,426.785,53.775,47.55,-0.1154459,-0.6317121,-0.07832302,0.7625468
13.47062,426.785,53.775,47.55,-0.1152483,-0.6316543,-0.07783825,0.7626742
13.48716,426.785,53.775,47.55,-0.1151807,-0.6315775,-0.07748055,0.7627845
13.50775,426.785,53.775,47.55,-0.1149437,-0.6315249,-0.07763565,0.762848
13.52805,426.785,53.775,47.55,-0.1143453,-0.6307715,-0.07758351,0.7635662
13.54881,426.785,53.775,47.55,-0.1141992,-0.6310526,-0.07717635,0.7633971
13.56904,426.785,53.775,47.55,-0.1137825,-0.6313487,-0.07678565,0.7632537
13.5895,426.785,53.775,47.55,-0.113544,-0.6315994,-0.07630342,0.7631303
13.60986,426.785,53.775,47.55,-0.1131087,-0.632549,-0.07587304,0.762451
13.63049,426.785,53.775,47.55,-0.112891,-0.6318719,-0.07596354,0.7630355
13.64662,426.785,53.775,47.55,-0.112439,-0.6319033,-0.07591201,0.7630813
13.66751,426.785,53.775,47.55,-0.1121513,-0.6318147,-0.07554752,0.7632333
13.68765,426.785,53.775,47.55,-0.1115872,-0.6326348,-0.07492582,0.7626976
13.70854,426.785,53.775,47.55,-0.1112612,-0.6327136,-0.07423802,0.7627471
13.72879,426.785,53.775,47.55,-0.1104751,-0.6329169,-0.07315636,0.7627974
13.74943,426.785,53.775,47.55,-0.1096304,-0.6332704,-0.07235725,0.762702
13.7697,426.785,53.775,47.55,-0.1082694,-0.6338886,-0.07020114,0.7625843
13.79027,426.785,53.775,47.55,-0.1075993,-0.6343396,-0.07028272,0.7622965
13.81075,426.785,53.775,47.55,-0.1063117,-0.6350502,-0.06918772,0.7619858
13.82682,426.785,53.775,47.55,-0.1055927,-0.6352031,-0.06860872,0.7620105
13.84776,426.785,53.775,47.55,-0.1052114,-0.6354308,-0.06811527,0.7619178
13.86823,426.785,53.775,47.55,-0.1050272,-0.6357963,-0.06776418,0.7616695
13.88862,426.785,53.775,47.55,-0.104499,-0.6360973,-0.06679332,0.7615766
13.90904,426.785,53.775,47.55,-0.1044955,-0.635954,-0.06716756,0.7616639
13.92937,426.785,53.775,47.55,-0.1044014,-0.6360964,-0.06673063,0.7615962
13.95021,426.785,53.775,47.55,-0.1043625,-0.6362386,-0.06652345,0.7615009
13.97047,426.785,53.775,47.55,-0.1044998,-0.6365352,-0.06634868,0.7612495
13.99075,426.785,53.775,47.55,-0.10451,-0.6369247,-0.06655786,0.7609039
14.00726,426.785,53.775,47.55,-0.1044994,-0.6367984,-0.06681715,0.7609884
14.0281,426.785,53.775,47.55,-0.1043121,-0.6367103,-0.0675576,0.7610223
14.04821,426.785,53.775,47.55,-0.1040938,-0.6368114,-0.0674897,0.7609736
14.06874,426.785,53.775,47.55,-0.1043185,-0.636757,-0.06718669,0.7610152
14.08911,426.785,53.775,47.55,-0.1045663,-0.636745,-0.06721646,0.7609887
14.10981,426.785,53.775,47.55,-0.104708,-0.6367518,-0.06730164,0.7609559
14.13024,426.785,53.775,47.55,-0.1043447,-0.6369599,-0.06711797,0.7608479
14.15074,426.785,53.775,47.55,-0.1040144,-0.6371499,-0.06700819,0.7607437
14.17126,426.785,53.775,47.55,-0.1032776,-0.6373724,-0.06680766,0.7606754
14.18724,426.785,53.775,47.55,-0.1028017,-0.6376802,-0.06638268,0.760519
14.20819,426.785,53.775,47.55,-0.1024088,-0.6377659,-0.06615525,0.7605199
14.22846,426.785,53.775,47.55,-0.1019765,-0.6379309,-0.06556325,0.7604909
14.24957,426.785,53.775,47.55,-0.1016693,-0.6375662,-0.06487878,0.7608965
14.26936,426.785,53.775,47.55,-0.1012592,-0.637859,-0.06465852,0.7607246
14.29002,426.785,53.775,47.55,-0.101054,-0.638229,-0.06457017,0.7604489
14.31021,426.785,53.775,47.55,-0.1005092,-0.638645,-0.06441251,0.7601852
14.33075,426.785,53.775,47.55,-0.1002226,-0.6386319,-0.06413251,0.7602578
14.34715,426.785,53.775,47.55,-0.1000866,-0.638684,-0.06379011,0.7602606
14.36789,426.785,53.775,47.55,-0.1001539,-0.6387386,-0.06363782,0.7602187
14.39215,426.785,53.775,47.55,-0.1000938,-0.638925,-0.06378936,0.7600573
14.40869,426.785,53.775,47.55,-0.09987268,-0.6391453,-0.06410305,0.7598748
14.42909,426.785,53.775,47.55,-0.09941168,-0.6392727,-0.06427742,0.7598132
14.44985,426.785,53.775,47.55,-0.09944174,-0.6397644,-0.06415168,0.759406
14.46991,426.785,53.775,47.55,-0.09942034,-0.6398157,-0.0639069,0.7593862
